city,lat,lng,population,city_clean
Tokyo,35.685,139.7514,37785000,Tokyo
Ōsaka,34.6938,135.5021,15126000,Osaka
Nagoya,35.1814,136.9064,9197000,Nagoya
Yokohama,35.4333,139.65,3757630,Yokohama
Fukuoka,33.5901,130.4017,2286000,Fukuoka
Sapporo,43.0619,141.3544,1959313,Sapporo
Kawasaki,35.5308,139.703,1538262,Kawasaki
Kōbe,34.6902,135.1954,1521707,Kobe
Kyōto,35.0111,135.7669,1431419,Kyoto
Saitama,35.8614,139.6456,1325843,Saitama
Iwatsuki,35.9508,139.6994,1324854,Iwatsuki
Hiroshima,34.3914,132.4519,1198021,Hiroshima
Sendai,38.2682,140.8694,1061177,Sendai
Chiba,35.6073,140.1064,975014,Chiba
Setagaya,35.6465,139.6532,940071,Setagaya
Kitakyūshū,33.8834,130.8752,935084,Kitakyushu
Sakai,34.5733,135.483,827277,Sakai
Niigata,37.9162,139.0364,790646,Niigata
Hamamatsu,34.7109,137.7262,788211,Hamamatsu
Nerima,35.7551,139.6585,749451,Nerima
Kumamoto,32.803,130.7079,738385,Kumamoto
Ōta-ku,35.5613,139.716,737187,Ota-ku
Sagamihara,35.5714,139.3731,725696,Sagamihara
Okayama,34.6551,133.9196,720043,Okayama
Edogawa,35.7066,139.8683,697932,Edogawa
Shizuoka,34.9756,138.3825,685589,Shizuoka
Adachi,35.7749,139.8044,682326,Adachi
Honchō,35.6947,139.9826,644668,Honcho
Kawaguchi,35.8042,139.7197,595011,Kawaguchi
Kagoshima,31.5968,130.5571,593754,Kagoshima
Itabashi,35.7512,139.7092,584483,Itabashi
Suginami-ku,35.6995,139.6364,583609,Suginami-ku
Hachiōji,35.6664,139.316,575721,Hachioji
Himeji,34.8152,134.6854,527596,Himeji
Kōtō-ku,35.6728,139.8173,523419,Koto-ku
Utsunomiya,36.5551,139.8826,518197,Utsunomiya
Matsuyama,33.8392,132.7656,506743,Matsuyama
Matsudo,35.7876,139.9032,497514,Matsudo
Ichikawa,35.7284,139.9085,492749,Ichikawa
Higashi-ōsaka,34.6794,135.6009,490819,Higashi-osaka
Nishinomiya-hama,34.7376,135.3417,487010,Nishinomiya-hama
Kawachichō,34.6964,135.601,486464,Kawachicho
Kurashiki,34.5851,133.7721,474862,Kurashiki
Ōita,33.1883,131.5783,474804,Oita
Kanazawa,36.5611,136.6565,462479,Kanazawa
Fukuyama,34.4859,133.3623,459576,Fukuyama
Amagasaki,34.7338,135.4063,455555,Amagasaki
Katsushika-ku,35.7434,139.8472,451772,Katsushika-ku
Fujisawa,35.3487,139.4837,439728,Fujisawa
Machida,35.5467,139.4386,434414,Machida
Kashiwa,35.8676,139.9758,427603,Kashiwa
Aomori,40.8228,140.7469,425962,Aomori
Toyota,35.0824,137.1563,422106,Toyota
Takamatsu,34.3428,134.0466,417814,Takamatsu
Shinagawa-ku,35.6092,139.7302,415729,Shinagawa-ku
Toyama,36.6959,137.2137,413028,Toyama
Nagasaki,32.7495,129.8796,404656,Nagasaki
Gifu,35.4263,136.7594,400118,Gifu
Toyonaka,34.7815,135.4696,399263,Toyonaka
Miyazaki,31.9077,131.4202,397476,Miyazaki
Hirakata,34.8144,135.6506,396694,Hirakata
Yokosuka,35.2813,139.6721,390275,Yokosuka
Okazaki,34.9547,137.173,385376,Okazaki
Minamisuita,34.7594,135.5168,381238,Minamisuita
Ichinomiya,35.3039,136.8031,378108,Ichinomiya
Takasaki,36.3231,139.0024,372639,Takasaki
Toyohashi,34.7692,137.3915,371507,Toyohashi
Nagano,36.6487,138.1947,367184,Nagano
Kawagoe,35.9251,139.4858,354598,Kawagoe
Wakayama,34.2304,135.1707,353299,Wakayama
Kita-ku,35.7528,139.7336,353058,Kita-ku
Nara,34.685,135.8048,352377,Nara
Shinjuku,35.6939,139.7034,349385,Shinjuku
Takatsuki,34.846,135.6173,347496,Takatsuki
Nakano,35.7058,139.6664,344880,Nakano
Ōtsu,35.0178,135.8548,342607,Otsu
Koshigaya,35.8911,139.7909,341784,Koshigaya
Tokorozawa,35.7994,139.4689,341289,Tokorozawa
Iwaki,37.0505,140.8877,336111,Iwaki
Maebashi,36.3895,139.0634,331849,Maebashi
Asahikawa,43.7706,142.365,331392,Asahikawa
Koriyama,37.4003,140.3597,327040,Koriyama
Kōchi,33.5588,133.5312,325535,Kochi
Naha,26.2122,127.6792,316048,Naha
Yokkaichi,34.965,136.6244,310263,Yokkaichi
Kasugai,35.2475,136.9722,306449,Kasugai
Akita,39.7199,140.1026,302984,Akita
Kurume,33.3036,130.5656,302858,Kurume
Ōakashichō,34.6431,134.9972,299699,Oakashicho
Toshima,35.7261,139.7167,297954,Toshima
Morioka,39.7455,141.2691,290553,Morioka
Sumida,35.7342,139.8185,287766,Sumida
Fukushima,37.7608,140.4747,284282,Fukushima
Ibaraki,34.8164,135.5686,283835,Ibaraki
Meguro,35.6414,139.6981,282607,Meguro
Tsu,34.7184,136.5058,273267,Tsu
Mito,36.3658,140.4712,270823,Mito
Ichihara,35.4981,140.1154,268038,Ichihara
Nagaoka,37.4453,138.8567,265868,Nagaoka
Yao,34.6269,135.6009,263436,Yao
Fukui,36.0641,136.2196,261474,Fukui
Fuchū,35.6689,139.4777,260508,Fuchu
Minato,35.658,139.7515,260486,Minato
Hiratsuka,35.3355,139.3494,257662,Hiratsuka
Kakogawachō-honmachi,34.7659,134.8369,255523,Kakogawacho-honmachi
Tokushima,34.0703,134.5549,254510,Tokushima
Shinozaki,33.9579,130.9413,252844,Shinozaki
Hakodate,41.7687,140.7289,251891,Hakodate
Sōka,35.8254,139.8053,251390,Soka
Yamagata,38.2554,140.3396,247234,Yamagata
Tsukuba-kenkyūgakuen-toshi,36.0835,140.0764,246647,Tsukuba-kenkyugakuen-toshi
Fuji,35.1613,138.6763,243739,Fuji
Sasebo,33.18,129.715,242664,Sasebo
Chigasaki,35.3339,139.4047,242347,Chigasaki
Bunkyō-ku,35.708,139.7523,240069,Bunkyo-ku
Yato,35.4875,139.458,239146,Yato
Matsumoto,36.238,137.972,239115,Matsumoto
Chōfugaoka,35.6506,139.5407,238087,Chofugaoka
Shibuya-ku,35.6637,139.6977,235193,Shibuya-ku
Saga,33.2635,130.3008,232359,Saga
Yoshiichō-shimobaru,33.2687,129.6869,230873,Yoshiicho-shimobaru
Kasukabe,35.9753,139.7523,228975,Kasukabe
Neya,34.7661,135.6281,227997,Neya
Ageoshimo,35.9774,139.5932,226616,Ageoshimo
Ōta,36.2172,139.3513,224358,Ota
Atsugichō,35.4431,139.3625,223815,Atsugicho
Hachinohe,40.5123,141.4884,222799,Hachinohe
Takarazuka,34.7998,135.3601,221846,Takarazuka
Arakawa,35.7361,139.7834,217891,Arakawa
Isesaki,36.3209,139.1982,213303,Isesaki
Kure,34.2492,132.5657,212159,Kure
Taitō,35.7126,139.78,212038,Taito
Nagareyama,35.8556,139.8986,211620,Nagareyama
Nishitōkyō,35.7256,139.5383,207436,Nishitokyo
Matsue,35.4681,133.0485,201802,Matsue
Yachiyo,35.7224,140.0999,200538,Yachiyo
Higashi-Hiroshima,34.4264,132.7433,197347,Higashi-Hiroshima
Itami,34.7829,135.4162,197215,Itami
Kodaira,35.7285,139.4774,196959,Kodaira
Suzuka,34.882,136.5842,195250,Suzuka
Kamirenjaku,35.6836,139.5595,194460,Kamirenjaku
Kumagaya,36.1474,139.3886,193190,Kumagaya
Yamaguchi,34.1782,131.4735,191470,Yamaguchi
Hino,35.6713,139.3951,190598,Hino
Odawara,35.2646,139.1522,189038,Odawara
Anjōmachi,34.9587,137.0803,188801,Anjomachi
Kishiwada,34.4605,135.3709,188015,Kishiwada
Numazu,35.0956,138.8634,187653,Numazu
Tottori,35.4944,134.2216,187323,Tottori
Jōetsu,37.1479,138.2361,187291,Joetsu
Kōfu,35.6621,138.5682,187144,Kofu
Izuo,34.4832,135.4232,184299,Izuo
Toyokawa,34.8241,137.3944,183930,Toyokawa
Tachikawa,35.7139,139.4079,181115,Tachikawa
Uji,34.8844,135.7998,179626,Uji
Narashino,35.6813,140.0266,174990,Narashino
Sakura,35.7192,140.2296,173740,Sakura
Kamakurayama,35.3192,139.5472,172929,Kamakurayama
Hitachi,36.5991,140.6515,172709,Hitachi
Izumo,35.367,132.7547,171995,Izumo
Tomakomai,42.6341,141.6055,170223,Tomakomai
Urayasu,35.6531,139.902,169749,Urayasu
Chūō-ku,35.6706,139.772,169179,Chuo-ku
Nishio,34.8618,137.0618,168992,Nishio
Hirosaki,40.6031,140.4638,167803,Hirosaki
Oyama,36.3145,139.8001,167647,Oyama
Niiza,35.7935,139.5653,165997,Niiza
Takaoka,36.7541,137.0257,165880,Takaoka
Kushiro,42.9849,144.3817,165699,Kushiro
Iwata,34.7179,137.8515,165688,Iwata
Obihiro,42.924,143.1961,165684,Obihiro
Hadano,35.3747,139.2201,164292,Hadano
Ube,33.9516,131.2467,162873,Ube
