city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tokyo,35.6850,139.7514,Japan,JP,Tōkyō,primary,37785000,13515271
Ōsaka,34.6938,135.5021,Japan,JP,Ōsaka,admin,15126000,2725006
Nagoya,35.1814,136.9064,Japan,JP,Aichi,admin,9197000,2320361
Yokohama,35.4333,139.6500,Japan,JP,Kanagawa,admin,3757630,3757630
Fukuoka,33.5901,130.4017,Japan,JP,Fukuoka,admin,2286000,1588924
Sapporo,43.0619,141.3544,Japan,JP,Hokkaidō,admin,1959313,1959313
Kawasaki,35.5308,139.7030,Japan,JP,Kanagawa,,1538262,1538262
Kōbe,34.6902,135.1954,Japan,JP,Hyōgo,admin,1521707,1521707
Kyōto,35.0111,135.7669,Japan,JP,Kyōto,admin,1431419,1431419
Saitama,35.8614,139.6456,Japan,JP,Saitama,admin,1325843,1325843
Iwatsuki,35.9508,139.6994,Japan,JP,Saitama,,1324854,1324854
Hiroshima,34.3914,132.4519,Japan,JP,Hiroshima,admin,1198021,1198021
Sendai,38.2682,140.8694,Japan,JP,Miyagi,admin,1061177,1061177
Chiba,35.6073,140.1064,Japan,JP,Chiba,admin,975014,975014
Setagaya,35.6465,139.6532,Japan,JP,Tōkyō,,940071,940071
Kitakyūshū,33.8834,130.8752,Japan,JP,Fukuoka,,935084,935084
Sakai,34.5733,135.4830,Japan,JP,Ōsaka,,827277,827277
Niigata,37.9162,139.0364,Japan,JP,Niigata,admin,790646,790646
Hamamatsu,34.7109,137.7262,Japan,JP,Shizuoka,,788211,788211
Nerima,35.7551,139.6585,Japan,JP,Tōkyō,,749451,749451
Kumamoto,32.8030,130.7079,Japan,JP,Kumamoto,admin,738385,738385
Ōta-ku,35.5613,139.7160,Japan,JP,Tōkyō,,737187,737187
Sagamihara,35.5714,139.3731,Japan,JP,Kanagawa,,725696,725696
Okayama,34.6551,133.9196,Japan,JP,Okayama,admin,720043,720043
Edogawa,35.7066,139.8683,Japan,JP,Chiba,,697932,697932
Shizuoka,34.9756,138.3825,Japan,JP,Shizuoka,admin,685589,685589
Adachi,35.7749,139.8044,Japan,JP,Tōkyō,,682326,682326
Honchō,35.6947,139.9826,Japan,JP,Chiba,,644668,644668
Kawaguchi,35.8042,139.7197,Japan,JP,Saitama,,595011,595011
Kagoshima,31.5968,130.5571,Japan,JP,Kagoshima,admin,593754,593754
Itabashi,35.7512,139.7092,Japan,JP,Tōkyō,,584483,584483
Suginami-ku,35.6995,139.6364,Japan,JP,Tōkyō,,583609,583609
